transaction_id,timestamp,sender_id,receiver_id,amount,currency,transaction_type,channel,operator,sender_wilaya,receiver_wilaya,status,fees,is_ramadan,bill_provider,origin_country,is_anomaly,anomaly_type
02e51bb5-99c7-49b5-bf09-a32cd3f35c0d,2026-02-25T20:27:54Z,ACC_00631,ACC_04807,44522.66,MRU,CASH_IN,USSD,Bamis Digital,Nouakchott-Sud,Hodh El Chargui,SUCCESS,320.89,True,,US,False,NONE
b7dc7083-75f2-4a36-b7ab-3ba4af413c99,2026-02-22T20:11:41Z,ACC_01207,ACC_03950,60949.98,MRU,TRANSFER,USSD,Masrvi,Dakhlet Nouadhibou,Trarza,SUCCESS,1068.99,True,,,False,NONE
e6e62e9e-fb1c-4fb1-ab10-9771804bd96f,2026-01-13T08:49:18Z,ACC_01292,ACC_04450,6827.48,MRU,BILL_PAY,USSD,Bankily,Nouakchott-Sud,Nouakchott-Ouest,SUCCESS,0.00,False,SOMELEC,,False,NONE
0483cba3-1d10-4c00-b821-40350dcd3206,2026-01-12T07:13:37Z,ACC_01468,ACC_01534,14496.61,MRU,TRANSFER,USSD,Masrvi,Nouakchott-Nord,Gorgol,SUCCESS,162.33,False,,,False,NONE
63fa623d-d9fd-4407-85fd-9608244b70ee,2026-02-04T15:31:53Z,ACC_00635,ACC_00497,6895.03,MRU,CASH_OUT,USSD,Bankily,Nouakchott-Ouest,Nouakchott-Ouest,SUCCESS,82.52,False,,,False,NONE
72ab56a9-c8e0-4ad9-960a-44770ed8703b,2026-01-26T17:43:00Z,ACC_00270,ACC_02386,5296.10,MRU,MERCHANT,APP,BaridCash,Dakhlet Nouadhibou,Nouakchott-Nord,SUCCESS,59.31,False,,,False,NONE
15971efd-a1de-4396-80ce-283ecb024cfa,2026-03-15T21:50:28Z,ACC_03550,ACC_01980,60.39,MRU,AIRTIME,USSD,Bankily,Gorgol,Nouakchott-Nord,SUCCESS,0.00,True,,,False,NONE
7140924f-8b2b-4bfc-a614-2b68fcf3ebb2,2026-02-11T12:56:22Z,ACC_04506,ACC_02663,48329.49,MRU,TRANSFER,APP,Attijari Mobile,Brakna,Nouakchott-Nord,SUCCESS,776.77,False,,,False,NONE
d720ce6f-bca6-4bb5-affb-67121542f864,2026-01-24T12:57:36Z,ACC_00966,ACC_03176,52212.17,MRU,TRANSFER,APP,Bankily,Gorgol,Hodh El Chargui,SUCCESS,494.81,False,,,False,NONE
a0065ebd-627c-4614-b9a6-4a7d42191e58,2026-02-22T20:29:55Z,ACC_01362,ACC_04530,8961.85,MRU,MERCHANT,APP,Moov Money,Nouakchott-Sud,Nouakchott-Ouest,SUCCESS,72.42,True,,,False,NONE
6b516beb-2691-4732-9e8c-91da34313110,2026-02-22T23:27:19Z,ACC_00023,ACC_03430,64173.91,MRU,CASH_IN,USSD,Bankily,Nouakchott-Ouest,Nouakchott-Nord,FAILED,0.00,True,,,True,OPERATOR_OUTAGE
6109d3e2-fc6e-4f62-8bdc-9a476b0899a5,2026-03-25T08:10:11Z,ACC_00637,ACC_03043,85032.43,MRU,CASH_OUT,USSD,Bankily,Adrar,Dakhlet Nouadhibou,SUCCESS,1550.29,False,,,False,NONE
f522b3b1-5f39-456e-8cda-4797eca57582,2026-01-03T12:57:10Z,ACC_02855,ACC_01577,86187.70,MRU,CASH_OUT,USSD,Click,Assaba,Nouakchott-Ouest,SUCCESS,747.26,False,,,False,NONE
56001aa9-1359-4727-98a1-9eda17e32ff9,2026-02-12T10:39:56Z,ACC_01854,ACC_02766,63717.55,MRU,TRANSFER,USSD,Bankily,Nouakchott-Sud,Brakna,SUCCESS,971.33,False,,,False,NONE
01cc3292-7ec8-45b3-8815-b93df731f18f,2026-03-12T13:39:12Z,ACC_02012,ACC_01579,26861.62,MRU,CASH_OUT,USSD,Bankily,Hodh El Chargui,Guidimakha,SUCCESS,233.54,True,,,False,NONE
3d1feae6-4104-443b-be86-2b32688c3570,2026-03-01T14:07:08Z,ACC_02208,ACC_02214,4696.82,MRU,TRANSFER,USSD,Attijari Mobile,Nouakchott-Nord,Inchiri,SUCCESS,78.44,True,,,False,NONE
c29f1b70-8785-4914-b1da-09faacb7fec3,2026-03-24T11:15:31Z,ACC_03289,ACC_01623,736737.60,MRU,TRANSFER,USSD,Click,Nouakchott-Sud,Dakhlet Nouadhibou,SUCCESS,7367.38,False,,,True,HIGH_AMOUNT
e60d87e4-4387-496e-9ac5-b56e6749e37e,2026-03-01T19:37:08Z,ACC_01482,ACC_03241,8079.98,MRU,TRANSFER,USSD,Masrvi,Nouakchott-Nord,Nouakchott-Ouest,SUCCESS,85.53,True,,,False,NONE
fcb87e50-c7db-486d-a162-619331ec7fd7,2026-01-20T19:16:24Z,ACC_00843,ACC_01163,36473.63,MRU,CASH_IN,USSD,Bankily,Nouakchott-Sud,Nouakchott-Ouest,SUCCESS,427.78,False,,,False,NONE
f5a6bb52-d5d4-47d1-9e6f-0ad7a13765f0,2026-02-27T20:17:03Z,ACC_01566,ACC_01362,69504.49,MRU,CASH_IN,USSD,Sedad,Nouakchott-Nord,Nouakchott-Sud,SUCCESS,717.24,True,,ES,False,NONE
66a45f84-6d3e-40bb-8665-4a5e0d5b443b,2026-03-01T19:33:54Z,ACC_03618,ACC_03975,4156.19,MRU,BILL_PAY,USSD,Bankily,Hodh El Chargui,Nouakchott-Ouest,SUCCESS,0.00,True,SOMELEC,,False,NONE
df94c4bc-b3fe-42a9-a11f-0a6a499e4a10,2026-01-11T14:45:52Z,ACC_02084,ACC_02633,9749.48,MRU,CASH_IN,USSD,bimbank Mobile,Nouakchott-Ouest,Nouakchott-Nord,SUCCESS,75.12,False,,,False,NONE
5d2ee6cd-ae47-430b-a704-0d5b17e6e7b7,2026-02-25T13:13:56Z,ACC_01921,ACC_01394,24655.82,MRU,MERCHANT,USSD,Click,Nouakchott-Ouest,Brakna,SUCCESS,282.31,True,,,False,NONE
3796af05-c011-4f92-8d7c-b9dabf6e8b45,2026-02-23T20:17:03Z,ACC_04258,ACC_02733,19661.69,MRU,MERCHANT,APP,Moov Money,Nouakchott-Nord,Nouakchott-Sud,SUCCESS,204.27,True,,,False,NONE
4d2a63c6-00dd-4bae-986d-6508437a9b95,2026-03-10T22:08:25Z,ACC_01409,ACC_00148,41250.55,XOF,CASH_IN,USSD,BaridCash,Nouakchott-Nord,Nouakchott-Nord,SUCCESS,613.68,True,,,False,NONE
94d0bd9d-2c1f-4605-a5c7-a803c0149f41,2026-02-10T09:50:37Z,ACC_03210,ACC_01383,4398.08,MRU,MERCHANT,USSD,Bankily,Nouakchott-Nord,Dakhlet Nouadhibou,SUCCESS,79.36,False,,,False,NONE
defcd24e-60d1-4623-b86c-6fbc3f92c175,2026-03-04T21:28:11Z,ACC_04526,ACC_03369,70476.87,XOF,TRANSFER,USSD,Amanty,Nouakchott-Ouest,Dakhlet Nouadhibou,SUCCESS,1035.43,True,,,False,NONE
1f4914b3-2e7f-4da0-8740-4d1dd1e2aee5,2026-02-04T12:38:00Z,ACC_00111,ACC_04961,5794.09,MRU,BILL_PAY,USSD,Rassidy رصيدي,Dakhlet Nouadhibou,Inchiri,SUCCESS,0.00,False,SOMELEC,,True,UNUSUAL_LOCATION
4ba85a9a-afef-49d1-964f-c74d159f1516,2026-01-05T18:27:12Z,ACC_01517,ACC_00547,4020.76,MRU,CASH_OUT,USSD,BaridCash,Trarza,Nouakchott-Nord,SUCCESS,63.36,False,,,False,NONE
e258f208-be55-45c8-b219-0bbfa46eff4b,2026-02-02T12:08:10Z,ACC_02441,ACC_03799,5632.60,MRU,MERCHANT,USSD,Bankily,Nouakchott-Sud,Brakna,SUCCESS,100.16,False,,,False,NONE
