transaction_id,timestamp,sender_id,receiver_id,amount,currency,transaction_type,channel,operator,sender_wilaya,receiver_wilaya,status,fees,is_ramadan,bill_provider,origin_country,is_anomaly,anomaly_type,true_label,predicted_label,anomaly_score,classification_error
959d3608-14fc-4cbc-8bfd-06a3b6f5f997,2026-01-27T15:32:12Z,ACC_02431,ACC_04601,79911.3,MRU,CASH_IN,USSD,Rassidy رصيدي,Nouakchott-Nord,Guidimakha,SUCCESS,822.9,False,,,False,NONE,0,1,29.02840805053711,false_positive
a033d58a-6315-4081-82be-f55bb5edfaec,2026-01-28T10:24:15Z,ACC_04546,ACC_04285,77354.14,MRU,TRANSFER,USSD,Bankily,Gorgol,Tiris Zemmour,SUCCESS,935.75,False,,,False,NONE,0,1,0.1770848035812378,false_positive
8959ca1b-6e90-448c-bf83-da2985e9d2c4,2026-01-28T21:37:16Z,ACC_04957,ACC_04651,68820.06,MRU,TRANSFER,APP,Attijari Mobile,Nouakchott-Ouest,Dakhlet Nouadhibou,SUCCESS,1310.63,False,,,False,NONE,0,1,0.23195500671863556,false_positive
97a556c3-819a-40ad-b3cc-9c2c0408135c,2026-01-01T14:53:43Z,ACC_01373,ACC_04427,2370.15,MRU,MERCHANT,USSD,Bamis Digital,Nouakchott-Nord,Guidimakha,SUCCESS,37.93,False,,,True,UNUSUAL_LOCATION,1,0,0.06559138000011444,false_negative
4bb92274-3bf9-47ea-9ab5-0a361c64ecd6,2026-01-26T17:56:34Z,ACC_04022,ACC_02402,55697.99,MRU,TRANSFER,USSD,Sedad,Guidimakha,Dakhlet Nouadhibou,SUCCESS,857.88,False,,,False,NONE,0,1,0.20024316012859344,false_positive
cb996683-7d4b-4e22-b2d0-a7ec64f8a154,2026-01-29T13:19:21Z,ACC_01085,ACC_01222,40555.08,USD,TRANSFER,USSD,bimbank Mobile,Dakhlet Nouadhibou,Nouakchott-Ouest,SUCCESS,405.55,False,,,True,STRUCTURING,1,0,0.3067954182624817,false_negative
5b0a7549-0118-4dc3-9d82-2423e49efacf,2026-01-05T08:47:49Z,ACC_02668,ACC_01072,1022.39,USD,BILL_PAY,USSD,Bankily,Gorgol,Nouakchott-Ouest,SUCCESS,0.0,False,SNDE,,False,NONE,0,1,22.67432403564453,false_positive
2e5ce776-7cb3-49a8-98fe-a01154a28f7a,2026-01-22T13:51:25Z,ACC_04552,ACC_03796,37780.73,MRU,TRANSFER,USSD,Masrvi,Nouakchott-Nord,Guidimakha,SUCCESS,675.43,False,,,False,NONE,0,1,6.779473304748535,false_positive
efa5a125-c6a2-42d0-8de0-6b897f0f89be,2026-01-31T19:10:15Z,ACC_00442,ACC_03539,82556.43,MRU,CASH_IN,USSD,Click,Nouakchott-Nord,Brakna,SUCCESS,1513.2,False,,,False,NONE,0,1,13.569100379943848,false_positive
f3813588-418a-4b17-b339-5559a79a7991,2026-01-31T13:24:08Z,ACC_02583,ACC_00749,60621.97,MRU,CASH_OUT,USSD,Sedad,Nouakchott-Sud,Dakhlet Nouadhibou,SUCCESS,489.98,False,,,False,NONE,0,1,0.19725604355335236,false_positive
